throughput,	act,	prepare,	6.7429591535175,	0.04023554784329731
throughput,	act,	pack,	6.777615826559911,	0.0656111139487985
throughput,	act,	ship,	6.73250229665952,	0.0700650221163831
throughput,	act,	display,	6.748920623968893,	0.09061469324676052
throughput,	act,	cache,	20.26500423088521,	0.11685790178286874
throughput,	act,	internal,	19.285496203992608,	0.15388022771606522
throughput,	act,	external,	0.9931353196823878,	0.019443959162099598
throughput,	entry,	think,	6.727912637874774,	0.027490242103730373
throughput,	entry,	save,	6.747933157629659,	0.052677140491153775
throughput,	entry,	notify,	6.735604422235436,	0.03248235601456893
throughput,	entry,	read,	7.721802038358963,	0.04736263522597111
throughput,	entry,	write,	6.750768462085227,	0.03374100479268573
throughput,	act,	write1,	6.74238738295049,	0.060351180701096435
throughput,	act,	write2,	6.750977989063595,	0.03435835828381458
throughput,	entry,	get,	6.74961570163984,	0.043402931444507215
throughput,	entry,	update,	6.7359365447606425,	0.045162354592888775
throughput,	entry,	visit,	20.33050538867016,	0.13313954150554916
throughput,	entry,	buy,	6.75196568786518,	0.03044582599276292
throughput,	task,	Client,	6.727912637874774,	0.027490242103730373
throughput,	task,	Server,	40.56600865640044,	0.1325391816902623
throughput,	task,	FileServer,	14.47257050044419,	0.05379523988413616
throughput,	task,	Backup,	13.485552246400482,	0.07923534717017433
utilization,	proc,	PClient,	0.6727912637874774,	0.0027490242103730333
utilization,	proc,	PServer,	1.0611689332478893,	0.0045281045523806185
utilization,	proc,	PDisk,	0.48885504979308875,	0.0020211211827711817
utilization,	task,	Client,	1.9999325000864858,	8.637343830756756E-7
utilization,	task,	Server,	1.1342901553376752,	0.004316871856089186
utilization,	task,	FileServer,	0.48975248708569236,	0.0020203980492072026
utilization,	task,	Backup,	0.13512550436654083,	7.925522144557568E-4
proc utilization,	act,	prepare,	0.06742959153517501,	4.023554784329745E-4
proc utilization,	act,	pack,	0.2033284747967973,	0.0019683334184639463
proc utilization,	act,	ship,	0.0673250229665952,	7.006502211638295E-4
proc utilization,	act,	display,	0.0067489206239688924,	9.061469324676042E-5
proc utilization,	act,	cache,	0.020265004230885213,	1.1685790178286866E-4
proc utilization,	act,	internal,	0.019285496203992607,	1.5388022771606582E-4
proc utilization,	act,	external,	0.0029794059590471634,	5.8331877486298806E-5
proc utilization,	act,	think,	0.6727912637874774,	0.0027490242103730372
proc utilization,	act,	save,	0.1349586631525932,	0.0010535428098230682
proc utilization,	act,	notify,	0.538848353778835,	0.0025985884811655295
proc utilization,	act,	read,	0.07721802038358964,	4.73626352259712E-4
proc utilization,	entry,	write,	0.2767815069454943,	0.001383381196500102
proc utilization,	act,	write1,	0.00674238738295049,	6.035118070109616E-5
proc utilization,	act,	write2,	0.2700391195625438,	0.0013743343313525644
proc utilization,	act,	get,	0.0674961570163984,	4.340293144450734E-4
proc utilization,	act,	update,	0.06735936544760643,	4.5162354592888566E-4
response time,	entry,	think,	0.29727287848353806,	0.0012123182159888492
response time,	entry,	save,	0.031056240844790764,	1.8142884566998974E-4
response time,	entry,	notify,	0.08022285724298672,	1.1611253456168494E-5
response time,	entry,	read,	0.01001999069813658,	1.5020824569242916E-7
response time,	entry,	write,	0.06108645488454332,	8.236418311023063E-5
response time,	entry,	get,	0.010020031579915377,	2.0912114490231315E-7
response time,	entry,	update,	0.010020009717594152,	2.2904097932905125E-7
response time,	entry,	visit,	0.0032706233613791678,	3.147811300058735E-5
response time,	entry,	buy,	0.04708101573833894,	2.6246391299298357E-4
response time,	task,	Client,	0.29727287848353806,	0.0012123182159888492
response time,	task,	Server,	0.02796179223701787,	1.3203150293816218E-4
response time,	task,	FileServer,	0.03384014374293898,	1.0912557805452056E-4
response time,	task,	Backup,	0.010020020558318282,	1.9650342492540613E-7
